#Pdb,P1,P2,Pk,Temperature,More
1CSE_IG38,E,I,10.279014255846262,"0    294
1    294
2    294
Name: Temperature, dtype: object",0
1CSE_IS38,E,I,11.079354998593212,"0    294
1    294
2    294
Name: Temperature, dtype: object",0
1CSE_IP38,E,I,6.991399828238083,"0    294
1    294
2    294
Name: Temperature, dtype: object",0
1CSE_II38,E,I,9.76447155309245,"0    294
1    294
2    294
Name: Temperature, dtype: object",0
1CSE_ID38,E,I,8.71669877129645,"0    294
1    294
2    294
Name: Temperature, dtype: object",0
1CSE_IE38,E,I,10.204119982655925,"0    294
1    294
2    294
Name: Temperature, dtype: object",0
1ACB_IG38,E,I,7.341988603342887,"0    294
1    294
2    294
Name: Temperature, dtype: object",0
1ACB_IS38,E,I,8.146301788223825,"0    294
1    294
2    294
Name: Temperature, dtype: object",0
1ACB_IP38,E,I,6.732828271596986,"0    294
1    294
2    294
Name: Temperature, dtype: object",0
1ACB_II38,E,I,8.681936665037238,"0    294
1    294
2    294
Name: Temperature, dtype: object",0
1ACB_ID38,E,I,6.79317412396815,"0    294
1    294
2    294
Name: Temperature, dtype: object",0
1ACB_IE38,E,I,6.954677021213342,"0    294
1    294
2    294
Name: Temperature, dtype: object",0
1SBN_IK38,E,I,10.494850021680094,"0    294
1    294
2    294
Name: Temperature, dtype: object",0
1SIB_IR46,E,I,10.494850021680094,"0    294
1    294
2    294
Name: Temperature, dtype: object",0
1TM1_IA42,E,I,10.101274818410506,"0    294
1    294
2    294
Name: Temperature, dtype: object",0
1TM1_IG42,E,I,8.267606240177031,"0    294
1    294
2    294
Name: Temperature, dtype: object",0
1TM1_IA46,E,I,9.441291429466835,"0    294
1    294
2    294
Name: Temperature, dtype: object",0
1TM1_IA48,E,I,9.555955204081924,"0    294
1    294
2    294
Name: Temperature, dtype: object",0
1TM1_IC48,E,I,9.326979092871104,"0    294
1    294
2    294
Name: Temperature, dtype: object",0
1TM1_IA48_IA46,E,I,7.995678626217358,"0    294
1    294
2    294
Name: Temperature, dtype: object",0
1TM1_ID39,E,I,10.616184634019568,"0    294
1    294
2    294
Name: Temperature, dtype: object",0
1TM1_IA39,E,I,10.269217724333611,"0    294
1    294
2    294
Name: Temperature, dtype: object",0
1TM1_IA41,E,I,10.010995384301463,"0    294
1    294
2    294
Name: Temperature, dtype: object",0
1TM1_IA39_IA41,E,I,9.669586226650809,"0    294
1    294
2    294
Name: Temperature, dtype: object",0
1TM1_ID39_IA41,E,I,11.602059991327963,"0    294
1    294
2    294
Name: Temperature, dtype: object",0
1TM1_IA51,E,I,12.136677139879543,"0    294
1    294
2    294
Name: Temperature, dtype: object",0
1Y1K_IT39,E,I,11.522878745280337,"0    294
1    294
2    294
Name: Temperature, dtype: object",0
1Y33_IT39,E,I,11.522878745280337,"0    294
1    294
2    294
Name: Temperature, dtype: object",0
1Y34_IE41,E,I,11.522878745280337,"0    294
1    294
2    294
Name: Temperature, dtype: object",0
1Y3B_IE41,E,I,11.522878745280337,"0    294
1    294
2    294
Name: Temperature, dtype: object",0
1Y4A_IE40_IM39,E,I,11.522878745280337,"0    294
1    294
2    294
Name: Temperature, dtype: object",0
1Y3C_IR43,E,I,11.522878745280337,"0    294
1    294
2    294
Name: Temperature, dtype: object",0
1Y48_IR46,E,I,11.522878745280337,"0    294
1    294
2    294
Name: Temperature, dtype: object",0
1Y3D_IR48,E,I,11.522878745280337,"0    294
1    294
2    294
Name: Temperature, dtype: object",0
1TM1_IA39,E,I,9.522878745280337,"0    294
1    294
2    294
Name: Temperature, dtype: object",0
1TM1_IP39,E,I,8.769551078621726,"0    294
1    294
2    294
Name: Temperature, dtype: object",0
1TM1_IA41,E,I,9.2839966563652,"0    294
1    294
2    294
Name: Temperature, dtype: object",0
1TM1_IS41,E,I,9.508638306165727,"0    294
1    294
2    294
Name: Temperature, dtype: object",0
1TM1_IS41_IR40,E,I,8.920818753952375,"0    294
1    294
2    294
Name: Temperature, dtype: object",0
1TM1_IA43,E,I,10.602059991327963,"0    294
1    294
2    294
Name: Temperature, dtype: object",0
1TM1_IA46,E,I,8.769551078621726,"0    294
1    294
2    294
Name: Temperature, dtype: object",0
1TM1_IA48,E,I,9.2518119729938,"0    294
1    294
2    294
Name: Temperature, dtype: object",0
1TM4_IM40,E,I,11.522878745280337,"0    294
1    294
2    294
Name: Temperature, dtype: object",0
1TM5_IM40,E,I,11.522878745280337,"0    294
1    294
2    294
Name: Temperature, dtype: object",0
1TM3_IM40,E,I,11.522878745280337,"0    294
1    294
2    294
Name: Temperature, dtype: object",0
1TM7_IM40,E,I,11.522878745280337,"0    294
1    294
2    294
Name: Temperature, dtype: object",0
1TMG_IM40,E,I,11.522878745280337,"0    294
1    294
2    294
Name: Temperature, dtype: object",0
1TO1_IY42,E,I,11.522878745280337,"0    294
1    294
2    294
Name: Temperature, dtype: object",0
1TM1_IG40,E,I,9.886056647693163,"0    294
1    294
2    294
Name: Temperature, dtype: object",0
1TM1_IA40,E,I,10.769551078621726,"0    294
1    294
2    294
Name: Temperature, dtype: object",0
1TM1_IK40,E,I,10.721246399047171,"0    294
1    294
2    294
Name: Temperature, dtype: object",0
1TM1_IY40,E,I,11.481486060122112,"0    294
1    294
2    294
Name: Temperature, dtype: object",0
1TM1_IF40,E,I,10.769551078621726,"0    294
1    294
2    294
Name: Temperature, dtype: object",0
1TM1_IA42,E,I,9.337242168318426,"0    294
1    294
2    294
Name: Temperature, dtype: object",0
2SIC_IE67,E,I,10.161150909262744,"0    294
1    294
2    294
Name: Temperature, dtype: object",0
2SIC_ID67,E,I,10.193820026016112,"0    294
1    294
2    294
Name: Temperature, dtype: object",0
2SIC_IH67,E,I,10.585026652029182,"0    294
1    294
2    294
Name: Temperature, dtype: object",0
2SIC_IK67,E,I,10.744727494896694,"0    294
1    294
2    294
Name: Temperature, dtype: object",0
2SIC_IR67,E,I,10.744727494896694,"0    294
1    294
2    294
Name: Temperature, dtype: object",0
2SIC_IG67,E,I,10.638272163982407,"0    294
1    294
2    294
Name: Temperature, dtype: object",0
2SIC_IA67,E,I,10.585026652029182,"0    294
1    294
2    294
Name: Temperature, dtype: object",0
2SIC_IL67,E,I,10.920818753952375,"0    294
1    294
2    294
Name: Temperature, dtype: object",0
2SIC_IV67,E,I,10.221848749616356,"0    294
1    294
2    294
Name: Temperature, dtype: object",0
2SIC_II67,E,I,9.568636235841012,"0    294
1    294
2    294
Name: Temperature, dtype: object",0
1IAR_AA5,A,B,8.931814138253838,"0    294
1    294
2    294
Name: Temperature, dtype: object",0
1IAR_AR5,A,B,9.20690839982342,"0    294
1    294
2    294
Name: Temperature, dtype: object",0
